"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms7",,,,"User:","tivan"
"Cmdline:","dstat --time --cpu --mem --net --output report2_2.csv",,,,"Date:","05 Nov 2017 16:35:54 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send"
05-11 16:35:55,0.214,0.463,98.086,1.161,0.076,0.0,103141376.0,16805888.0,160665600.0,1479254016.0,0.0,0.0
05-11 16:35:56,0.0,0.0,100.0,0.0,0.0,0.0,103116800.0,16805888.0,160669696.0,1479274496.0,459.0,1119.0
05-11 16:35:57,0.0,0.0,100.0,0.0,0.0,0.0,103116800.0,16805888.0,160669696.0,1479274496.0,0.0,0.0
05-11 16:35:58,0.0,0.990,99.010,0.0,0.0,0.0,103116800.0,16805888.0,160669696.0,1479274496.0,0.0,0.0
05-11 16:35:59,0.990,0.0,99.010,0.0,0.0,0.0,103116800.0,16805888.0,160669696.0,1479274496.0,0.0,0.0
05-11 16:36:00,0.0,0.0,100.0,0.0,0.0,0.0,103116800.0,16805888.0,160669696.0,1479274496.0,0.0,0.0
05-11 16:36:01,0.0,0.990,65.347,33.663,0.0,0.0,103108608.0,16814080.0,160669696.0,1479274496.0,0.0,0.0
05-11 16:36:02,0.0,0.0,100.0,0.0,0.0,0.0,103108608.0,16814080.0,160669696.0,1479274496.0,0.0,0.0
05-11 16:36:03,0.0,0.0,99.010,0.0,0.990,0.0,103108608.0,16814080.0,160669696.0,1479274496.0,0.0,0.0
05-11 16:36:04,0.0,1.0,99.0,0.0,0.0,0.0,103108608.0,16814080.0,160669696.0,1479274496.0,0.0,0.0
05-11 16:36:05,0.0,0.0,100.0,0.0,0.0,0.0,103108608.0,16814080.0,160669696.0,1479274496.0,0.0,0.0
05-11 16:36:06,0.0,1.0,91.0,8.0,0.0,0.0,103100416.0,16822272.0,160669696.0,1479274496.0,0.0,0.0
05-11 16:36:07,21.782,19.802,57.426,0.0,0.990,0.0,117624832.0,16822272.0,160669696.0,1464750080.0,5306.0,4201.0
05-11 16:36:08,18.367,24.490,57.143,0.0,0.0,0.0,105136128.0,16822272.0,160677888.0,1477230592.0,90242.0,7456.0
05-11 16:36:09,0.990,1.980,95.050,0.0,1.980,0.0,105398272.0,16822272.0,160669696.0,1476976640.0,576916.0,37962.0
05-11 16:36:10,1.0,2.0,95.0,0.0,2.0,0.0,106541056.0,16822272.0,160669696.0,1475833856.0,581438.0,38460.0
05-11 16:36:11,1.020,1.020,90.816,5.102,2.041,0.0,106541056.0,16830464.0,160661504.0,1475833856.0,579136.0,38110.0
05-11 16:36:12,0.990,1.980,94.059,0.0,2.970,0.0,107040768.0,16830464.0,160669696.0,1475325952.0,575777.0,38036.0
05-11 16:36:13,1.0,2.0,96.0,0.0,1.0,0.0,107040768.0,16830464.0,160669696.0,1475325952.0,580279.0,38184.0
05-11 16:36:14,1.0,2.0,94.0,0.0,3.0,0.0,108183552.0,16830464.0,160669696.0,1474183168.0,599356.0,39590.0
05-11 16:36:15,1.010,1.010,95.960,0.0,2.020,0.0,108183552.0,16830464.0,160669696.0,1474183168.0,572431.0,37666.0
05-11 16:36:16,1.0,2.0,95.0,0.0,2.0,0.0,108183552.0,16830464.0,160669696.0,1474183168.0,588135.0,38850.0
05-11 16:36:17,1.0,2.0,92.0,3.0,2.0,0.0,109191168.0,16838656.0,160669696.0,1473167360.0,567915.0,37444.0
05-11 16:36:18,0.990,1.980,95.050,0.0,1.980,0.0,109191168.0,16838656.0,160669696.0,1473167360.0,576984.0,38110.0
05-11 16:36:19,2.0,2.0,93.0,0.0,3.0,0.0,110379008.0,16838656.0,160669696.0,1471979520.0,556574.0,38633.0
05-11 16:36:20,1.010,2.020,95.960,0.0,1.010,0.0,111390720.0,16838656.0,160673792.0,1470963712.0,606558.0,41248.0
05-11 16:36:21,1.980,1.980,94.059,0.0,1.980,0.0,111771648.0,16838656.0,160673792.0,1470582784.0,570141.0,39142.0
05-11 16:36:22,1.0,1.0,96.0,0.0,2.0,0.0,111001600.0,16838656.0,160673792.0,1471352832.0,557287.0,37042.0
05-11 16:36:23,0.990,1.980,91.089,3.960,1.980,0.0,111603712.0,16846848.0,160661504.0,1470754816.0,565759.0,37334.0
05-11 16:36:24,1.0,2.0,95.0,0.0,2.0,0.0,111595520.0,16846848.0,160669696.0,1470754816.0,570313.0,37646.0
05-11 16:36:25,1.010,1.010,95.960,0.0,2.020,0.0,111595520.0,16846848.0,160669696.0,1470754816.0,574730.0,37942.0
05-11 16:36:26,1.0,2.0,95.0,0.0,2.0,0.0,111595520.0,16846848.0,160669696.0,1470754816.0,576919.0,38110.0
05-11 16:36:27,0.990,1.980,94.059,0.0,2.970,0.0,112611328.0,16846848.0,160669696.0,1469739008.0,585898.0,38628.0
05-11 16:36:28,1.0,2.0,95.0,0.0,2.0,0.0,112611328.0,16846848.0,160669696.0,1469739008.0,594864.0,39220.0
05-11 16:36:29,1.0,2.0,77.0,18.0,2.0,0.0,112730112.0,16855040.0,160669696.0,1469612032.0,556715.0,36630.0
05-11 16:36:30,1.010,1.010,95.960,0.0,2.020,0.0,112726016.0,16855040.0,160673792.0,1469612032.0,572400.0,37740.0
05-11 16:36:31,1.0,2.0,95.0,0.0,2.0,0.0,112726016.0,16855040.0,160673792.0,1469612032.0,572414.0,37740.0
05-11 16:36:32,0.990,1.980,95.050,0.0,1.980,0.0,113741824.0,16855040.0,160673792.0,1468596224.0,557833.0,36778.0
05-11 16:36:33,1.0,2.0,95.0,0.0,2.0,0.0,113741824.0,16855040.0,160673792.0,1468596224.0,590371.0,38998.0
05-11 16:36:34,1.010,2.020,94.949,0.0,2.020,0.0,114241536.0,16855040.0,160673792.0,1468096512.0,562316.0,37000.0
05-11 16:36:35,0.990,1.980,91.089,2.970,2.970,0.0,114184192.0,16863232.0,160673792.0,1468145664.0,585850.0,38628.0
05-11 16:36:36,1.010,1.010,95.960,0.0,2.020,0.0,114184192.0,16863232.0,160673792.0,1468145664.0,553317.0,36482.0
05-11 16:36:37,1.0,2.0,95.0,0.0,2.0,0.0,114184192.0,16863232.0,160673792.0,1468145664.0,583644.0,38480.0
05-11 16:36:38,1.0,2.0,94.0,0.0,3.0,0.0,114221056.0,16863232.0,160673792.0,1468108800.0,590404.0,38924.0
05-11 16:36:39,1.0,2.0,95.0,0.0,2.0,0.0,114692096.0,16863232.0,160673792.0,1467637760.0,581394.0,38332.0
